ID;Smell;Why;Refactoring;Why;Francisco;Jacopo;Agreement
5;Non-scalable security controls;;DevSecOps;DevSecOps approach that helps in integrating security processes, principles, best practices and tools early in the development lifecycle, thereby encouraging collaboration among Security experts and Business Analysts, Architects, Development and Operations team, thus making everyone accountable and responsible for building secured systems.;X;X;1
5;Non-scalable security controls;;Continuous Security Testing;Automating security tests for both application and infrastructure layers and integrating with CI/CD pipeline provides a platform for continuous testing of security elements of the distributed system that you are building.;X;X;1
5;Non-standard Authorization;;Use OAuth 2.0;Authorized access to protected resources at an application level. Consider using OAuth delegated authorization schemes such as JWT;X;X;1
5;Non-encrypting sensitive data;;Encrypt data at rest;try and test encryption algorithms to encrypt data in transit and at rest;X;;0
5;No layered security;;Use defense-in-depth;Securing infrastructure-level components such as Containers, SSL communication layer, Firewall, etc.;X;X;1
6;No layered security;Rather than assuming a network perimeter firewall is good enough, continue to add multiple layers of security where it matters most;Use defense-in-depth;This adds redundancy to your security and also helps slow down an attacker when one layer of security fails or a vulnerability is identified.;X;X;1
6;No layered security;"Microservices are still subject to the same security vulnerabilities and hardening precautions that more full-featured services are.ervers running microservices are often less robust than monolithic servers, which can make them more susceptible to DDoS attacks.";Use defense-in-depth;You can take a major step toward defense-in-depth by moving many of your microservices off of public networks.;X;X;1
6;Non-secure communication;anyone who can set up a listener on your service network can view all the information passing between services. Often times, that simply means that they can read all the information present in your system, even very sensitive information.;Use Transport Layer Security (TLS);It�s better to be proactive and add another layer of defense here rather than reacting after a breach. Adding TLS to a microservice is cheap and easy. It�s not worth the increased risk of leaving it off.;X;X;1
6;Non-encrypting sensitive data;Whether that�s your database or your file storage, it shouldn�t be possible for anyone who can access the hard drive to read your critical data without also having your security keys.;Encrypt data at rest;Encrypting data at rest is a best practice for any security context. Microservices don�t change that at all, but many teams neglect to do it.;X;X;1
6;unnecessary privileges to microservices;Another common pitfall when migrating to microservices is to treat all of them the same. We�ve touched on this previously, but the truth is that all microservices aren�t equal. Some need far more access to critical infrastructure�like databases�than others. Instead of simply allowing all services the same level of access to all architecture, intelligently limit their access. Not every service needs to be able to talk to your database or your file persistence layer.;Least privilege principle;By limiting what services can access, you simplify the attack surface if one service were to be compromised.;X;;0
6;Non-proactive security;Most of the time, we don�t �just know� that something�s wrong. We might figure it out eventually, but that takes time. The time that passes between something going wrong and finding out that something is wrong increases your risk profile significantly.;Use attack mitigation techniques;An Application Security Management solution gives you a heads up when something�s going wrong with a service.;X;X;1
8;Non-standard Authorization;You need to ensure that the proper user controls are in place so that you can validate that a user is who they say they are and that they have permission to do what they�re trying to do.;Use OAuth 2.0;OAuth2 is a token-based security framework. The main goal behind OAuth2 is that when multiple services are called to fulfill a user�s request, the user can be authenticated by each service without having to present their credentials to each service processing their request.;X;X;1
8;Non-secure communication;;Use transport Layer Security (TLS);your microservices should communicate only through the encrypted channels provided through HTTPS and SSL. The configuration and setup of the HTTPS can be automated through your DevOps scripts.;X;X;1
8;Decentralized security policy management;The individual servers, service endpoints, and ports your services are running on should never be directly accessible to the client;Use API Gateway;"Instead, use a services gateway to act as an entry point and gatekeeper for your service calls. Configure the network layer on the operating system or container your microservices are running in to only accept traffic from the services gateway.emember, the services gateway can act as a policy enforcement point (PEP) that can be enforced against all services. service gateway also allows you to lock down what port and endpoints you�re going to expose to the outside world.";X;X;1
8;unnecessary privileges to microservices;Least privilege is the concept that a user should have the bare minimum network access and privileges to do their day-to-day job. To this end, you should implement least-privilege by separating your services into two distinct zones: public and private. ;Least privilege principle;"The public zone contains the public APIs that will be consumed by clients. Public microservices should be behind their own services gateway and have their own authentication service for performing OAuth2 authentication.he private zone acts as a wall to protect your core application functionality and data. The private zone should only be accessible through a single well-known port and should be locked down to only accept network traffic from the network subnet that the private services are running. The private zone should have its own services gateway and authentication service.";X;X;1
8;unnecessary privileges to microservices;;Lock down unneded network ports;Limit the attack surface of your microservices by locking down unnneeded network ports;X;;0
10;Non-standard authentication;Authentication to microservices APIs that have access to sensitive data should not be done simply by using API keys.;Use OpenID Connect;Access to such APIs should require authentication tokens that have either been digitally signed (e.g., client credentials grant) or is verified with an authoritative source. Additionally, some services may require either single-use tokens or short-lived tokens (tokens that expire after a short time period) to limit the damage a compromised token can cause.;X;X;1
10;Decentralized Authentication;Unlike a monolithic application where the endpoint may be a single server, a microservices-based application consists of multiple fine-grained endpoints.;Use API Gateway;"Makes sense to provide a single entry point for all clients to multiple component microservices of the application. n API gateway can simplify the situation for clients by exposing an endpoint that will automatically make all the needed multiple requests (calls) and return a single, aggregated response to the client. ";;X;0
10;Giant API Gateway;To prevent the gateway from having too much logic to handle request shaping for different client types, it is divided into multiple gateways.;Use Backend for Frontend;In BFF, each client type is given its own gateway (e.g., web app BFF, mobile app BFF) as a collection point for service requests. The respective backend is closely aligned with the corresponding front end (client) and is typically developed by the same team.;X;X;1
10;Non-secure communication;Secure communication between clients and services (north-south traffic) and between services (east-west traffic) is critical for the operation of a microservices-based application. ;Transport Layer Security (TLS) mutual authentication;"Communication between an application service and a service registry should occur through a secure communication protocol such as HTTPS or Transport Layer Security. lient to API gateway as well as Service to Service communication should take place after mutual authentication and be encrypted (e.g., using mutual TLS (mTLS) protocol).requently interacting services should create keep-alive TLS connections.";X;X;1
10;Non-proactive security;Though it is impossible to protect against all types of Internet-based attacks including botnets, microservice APIs must be provided with detection and prevention capabilities against credential-stuffing and credential abuse attacks as well as the capability to detect malicious botnet.;Use attack mitigation techniques;A run-time prevention strategy for credential abuse is preferable to an offline strategy. A threshold for a designated time interval from a given location (e.g., IP address) for the number of login attempts should be established if the threshold is exceeded, preventive measures must be triggered by the authentication/authorization server.;X;X;1
12;No layered security;;Use defense-in-depth;"A technique through which you can apply layers of security countermeasures to protect the sensitive services.otential attackers cannot crack the security on a single go.";X;X;1
12;Decentralized Authentication;;Use API Gateway;"Add an extra element to secure services through token authentication.cts as an entry point to all the client requests and efficiently hides the microservices from the client.";X;X;1
12;Non-standard Authorization;Client details and permissions need to be verified as and when a requests is sent. ;Use OAuth 2.0;"Tokens need to be encrypted to avoid any exploitation from 3rd party resources.hile mentioning the access token the client communicates with the authorization server, and this server authorizes the client to prevent others from forging the client's identity.";X;X;1
12;Non-secure communication;Applications often face traffic from users, 3rd parties, and microservices communicates with each other. But, since these services are accessed by the 3rd parties, there is always a risk of attacks. ;Transport Layer Security (TLS) mutual authentication;With mutual SSL, the data transferred between the services will be encrypted.;X;X;1
13;Non-secure communication;Those in process calls are now inter-process calls.;Use Transport Layer Security (TLS);HTTPS is a good default choice.;X;X;1
13;Non-standard Authorization;"Confused Deputy Problem!ou can trick an intermediate party into asking for things they shouldn't be able to get.";Use OAuth 2.0;Use OAuth to manage authentication and authorization.;X;X;1
13;Non-encrypting sensitive data;;Encrypt data at rest;Identify the most critical databases and encrypt them. Microservices architecture allows focusing your energy and resources.;X;X;1
15;Non-secure communication;;Use Transport Layer Security (TLS);Encrypt all traffic to your end-point to prevent man in the middle attacks.;X;X;1
15;unnecessary privileges to microservices;;Least privilege principle;"Each component in your system architecture should have access control!ou need to do proper Authorization at every layer.";X;X;1
15;Non-proactive security;Never assume that your microservices can scale infinitely.;Use attack mitigation techniques;"Rate limit and throttle your microservices traffic.ate limit protects you against DDoS & availability issues.";X;X;1
15;No layered security;You need to design a secure network architecture.;Use defense-in-depth;WAF + API Gateway + TLS + Network segmentation ;X;X;1
15;Hardcoded secrets;"Do not store private keys & system credentials in plain text on your servers.;Encrypt secrets at rest;Exposure of you private key will negate all your other security controls.;X;X;1
15;Non-encrypting sensitive data;;Encrypt data at rest;You need to encrypt or Hash sensitive data.;X;X;1
16;Publicly accessible microservices;You have multiple endpoints that transform into entry points, and therefore the attack surface of your system expands. ;Use API Gateway;You selectively pick a set of microservices that you want to expose to the outside world and they need yo be expose through an API Gateway.;X;X;1
16;Trust the Network;"Today we consider it an antipattern (Network trust).  rust nothing but verify everything";Zero Trust Network;"You need to go for a zero-trust network model.ou need to keep policy enforcement point or secret checkpoints as much close to the resource.";X;X;1
16;Non-secure communication;;Transport Layer Security (TLS) mutual authentication;Encrypt all traffic to your endpoints and service to service communication.;X;X;1
17;No layered security;Securing the perimeter is not going to be enough. The question is how to secure a rapidly changing infrastructure in an organic way that still allows the individual services to change and grow without requiring central coordination.;Use defense-in-depth;"Using an extra firewall or gateway to guard resources that require more levels of protection is a good idea.efined application boundaries provide a reasonable amount of isolation between independently varying systems, and are a good way to maintain a reasonable security posture in a dynamic enviroment.";X;X;1
17;Non-encrypting sensitive data;;Encrypt data at rest;Sensitive data should be encrypted as early as possible, and decrypted as late as possible. If sensitive data must flow between services, only do so while it is encrypted, and should not be decrypted until the data needs to be used. This process can help prevent accidental exposure in logs, for example.;X;X;1
17;Decentralized Authentication;;Use API Gateway;It is common to have authentication (establishing the user's identity) performed by a dedicated, centralized service or evan an API gateway.;X;;0
17;Centralized authorization;With a monolithic application, it is common to have fine grained roles, or at least role associated groups in a central user repository. With the emphasis on independent lifecycles of microservices, however, this dependency is an anti-pattern. Development of an independent microservice is then constrained by and coupled with updates to the centralized resource.;Decentralize authorization;When working with authorisation (establishing a user's authority or permission to access a secured resource), in a microservice environment keep group or role definiitions coarse grained in common, cross cutting services. Allow individual services to maintain their own fine grained controls.;X;;0
17;Own crypto code;;Use already validated solutions;Use known data encryption technologies rather than inventing your own;X;X;1
17;Hardcoded secrets;Secrets should never be hardcoded because that increases the likelihood they will be compromised. It either makes your code sensitive to the enviroment, or requires different environments to use the same shared secret, neither of which are good practices.;Encrypt secrets at rest;"Do not store your credentials alongside your applications. o not store your credentials in a public repository.nly store encrypted values.;X;X;1
17;Non-scalable security controls;;DevSecOps;Repeatable automated processes should be used for applying security policies, credentials, and managing SSL certificates and keys across segmented enviroments to help avoid human error.;X;X;1
17;Trust the Network;It is inherently unsafe to assume a secure private network. End-to-end SSL can bring some benefit in that bytes are not flowing around in plain text, but it does not establish a trusted enviroment on its own, and requires key management.;Zero Trust Network;;X;X;1
17;Non-standard Authorization;You must establish and maintain the identity of users without introducing extra latency and contention with frequent calls to a centralized service.;Use OAuth 2.0;OAuth provides an open framework for delegating authorization to a third party.;X;X;1
17;Non-standard authentication;You must establish and maintain the identity of users without introducing extra latency and contention with frequent calls to a centralized service.;Use OpenID Connect;OIDC provides an identity layer on top of OAuth 2.0, making it possible to also delegate authentication to a third party.;X;X;1
17;Non-standard identity propagation;Identity propagation is another challenge in microservices enviroment. After the user has been authenticated, that identity needs to be propagated to the next service in a trusted way.;Use JSON Web Tokens (JWT);"JWTs can be used to carry along a representation of information about the user. In essence, you want to be able to accomplish these tasks:now that the request was initiated from a user request.now the identity that the request was made on behalf of.now that this request is not a malicious replay of a previous request.";X;X;1
18;Non-secure communication;When we are working with APIs, we need to think about the security of data traffic and especially the level of permission that each user should have.;Use JSON Web Tokens (JWT);"There are many ways to do this, but the one that currently stands out is JWT (JSON Web Token), mainly because it is safe and easy to implement.WT is a data transfer system that can be sent via URL, POST, or in an HTTP header. This information is digitally signed, for example, signed with the HMAC algorithm or public/private keys using the RSA algorithm.";X;X;1
18;Decentralised authentication;;Centralise authentication;Single Sign-On;X;;0
18;Non-secure communication;;Use Transport Layer Security (TLS);"It enables the Secure Socket Layer (SSL)/Transport Layer Security (TLS) security layer to encrypt the data exchanged between the HTTP agent and the server.dopt HTTPS, even below the API level. It is very common to see applications with HTTPS only for the external communication layer of the application.";X;X;1
18;Publicly accessible microservices;Imagine that our application, which uses the microservices architecture, has three different types of clients. The first is a web frontend, the second is a mobile application, and the third is another service external to our application. Each of these clients expects a different response to their respective requests. Without the gateway, each client should know directly the microservices responsible for delivering the information and know-how to manipulate them.;Use API Gateway;"If you imagine microservices as a great orchestra, the gateway API would be the concertmaster. The gateway pattern instruments microservices.he API gateway is positioned ahead of microservices. Some benefits we get from adopting the API gateway are optimized endpoints and centralized middleware functionality.entralized middleware functionality means that levels of security, permissions, authentication, and other validations are at the gateway level.";X;X;1
19;Non-standard Authorization;;Use OAuth 2.0;Setting proper access controls and user authorization should be our first priority. One may use OAuth2 for controlling user authorization.;X;X;1
19;Non-standard identity propagation;;Use JSON Web Tokens (JWT);Access controls can be set to control the scope of access and permissions for different types of user groups as per your needs. Third party services can also be made use of in this context. JWT or JSON Web Token based authentication may be used, JWT is a good framework in this regard.;X;X;1
19;Publicly accessible microservices;;Use API Gateway;"Use of API gateway and isolation of resources. Various 3rd party API gateways can be used to accomplish this purpose.solation of APIs and internal components to reduce the exposed attack surface.";X;X;1
19;Hardcoded secrets;Never store sensitive keys and other information in Environment variables. These can in certain cases get exposed via application logs, or, can also be accessed unintentionally by other services, which makes it unsafe.;Encrypt secrets at rest;;X;X;1
19;Using experimental solutions;Never use newer experimental encryption algorithms that often come bundled with frameworks, sometimes customized, and they have various kinds of vulnerabilities which may stay unknown or, have lesser-known exploits in them.;Use already validated solutions;;X;X;1
20;Decentralized Authentication;The microservices architecture is a typical distributed system spread over the network, running into multiple services instances and also being accessed thru different clients.;Use API Gateway;In order to centralize the access coming from the externals, you should define a single entry point to route all external service clients.;X;X;1
20;Non-secure communication;;Use Transport Layer Security (TLS);All HTTP connections should be encrypted using TLS (or SSL) protocols. That is going to protect your application context from man-in-the-middle, eavesdropping and tampering attacks providing a bidirectional encryption channel between the client and the server.;X;X;1
20;Non-encrypting sensitive data;Beyond the encrypted data in transit that you might have defined using HTTPS or any other secure protocol, you also need to ensure the data privacy at the application level. Such as the data you are going to store at the database or even any confidencial data you have defined at the source code level.;Encrypt data at rest;All sensitive data should be encrypted as early as possible and decrypted as late as possible.;X;X;1
20;Own crypto code;;Use already validated solutions;Using existing data encryption technologies (do not create your own);X;X;1
20;Non-proactive security;Nowadays, one of the most common attack at the Internet is the denial of service (DoS), where the hackers try to make the network resources unavailable over flooding the application with requests;Use attack mitigation techniques;In order to prevent this issue you should throttle the external requests so then those clients don't consume all the application bandwidth. You can control the rate of traffic sent or received by a particular client checking its IP number and then limit the rate of their requests applying blocking rules by time based period (hourly, daily or monthly) or adding them in a blacklist.;X;X;1
20;Non-proactive security;Microservices authentication process are pretty much about using access tokens. That means every single request is going to receive a token in order to identify the user access and then give him access to the protected resources.;Use attack mitigation techniques;To avoid any vulnerability, such as SQL injections, cross-site scripts you should implement protection using security filters at the API gateway level, such as CSRF and CORS filters.;X;X;1
20;unnecessary privileges to microservices;;Least privilege principle;Using of trusted base container images, limiting permissions to the bare minimum needed, don't running anything using SUDO, applying namespaces and group permissions to isolate access to the resources, never storing secrets at the container disk and limiting available resources consumption are good practices we need to follow in order to assure a minimum level of security at the infrastructure, after all that is going to manage all your runtime environment.;X;X;1
20;Not monitoring services;;Monitor everything that is possible;You should monitor everything that is possible inside your microservices architecture. That is going to detects and prevents possible attacks and ensure you are prepared to support it. And if you are really exposed at some point you can identify and quickly fix it before turns too critical.;;X;0
21;unnecessary privileges to microservices;;Least privilege principle;Develop an understanding of what access is needed from a minimalist perspective less is better. Consider what damage can be done to (or by) each particular microservice if it should be compromised, and see what can be adjusted or safeguarded against.;X;X;1
21;Non-scalable security controls;;DevSecOps;Where possible, use centralized security or configuration policies which can be applied across the board to build consistency and reduce the necessity for human analysis or interaction.;X;X;1
21;Non-secure communication;;Use Transport Layer Security (TLS);When using external access (such as to another server or storage device) utilize encryption for data in transit (such as through HTTPS via certificates) and at rest.;X;X;1
22;Non-secure communication;;Use transport Layer Security (TLS);"Select a security solution that fits the ecosystem already in place without requiring adjustments, such as changing how traffic is routed, the submission of SSL certificates or the alteration of IP addresses.ecure the channels through which the applications are being delivered. That means protecting APIs and web and mobile services from attack vectors such as protocol manipulation, data manipulation in servers, and session and credential attacks.";X;X;1
22;Non-scalable security controls;;DevSecOps;Deliver a security posture that is scalable and elastic to adapt to changing business needs. Automate the monitoring and mitigation of attacks everywhere in the ecosystem to support the continuous deployment process for applications.;X;X;1
23;No layered security;;Use defense-in-depth;Defense-in-depth is a strategy in which several layers of security control are introduced in an application. Sensitive services get layers of security cover, so a potential attacker who has exploited one of the microservices in the application may not be able to do so to another microservice or other layers of the application.;X;X;1
23;Decentralized Authentication;In a microservices-based application, the proliferation of communication interfaces increases an application's overall attack surface. Each exposed API and communication channel creates a potential attack vector that developers need to make sure they address.;Use API Gateway;"An API gateway should provide a single point of entry for traffic, which it directs to various microservices. These API gateways often use token-based authentication to manage what data privileges particular services have and dictate how they can interact with that data.ince the clients don't directly access the services, they cannot exploit the services on their own. ";X;X;1
23;Publicly accessible microservices;;Use firewall for the API gateway;You can add a layer of protection if you place the API gateway behind a firewall. This ensures all the microservices used in a particular application are secure.;X;X;1
23;Non-secure communication;;Use transport Layer Security (TLS);Microservices often need to communicate with each other via data packets and APIs. Maintain security certificates and ensure any data in-transit is encrypted.;X;X;1
23;unnecessary privileges to microservices;;Least privilege principle;Also, closely guard API permissions -only authorized users should have access to the APIs. One way to handle this is using the principle of least privilege to control access to resources. Provide access to a resource only on an as-needed basis.;X;X;1
23;Non-scalable security controls;Microservices security best practices aren't just about deploying the right technology. For microservices adoption to be successful, the development and operations teams should converge in line with the concept of DevOps, but they should also have a close relationship with security groups to understand security processes and how to mitigate security risks.;DevSecOps;DevSecOps, dictates that developers and operations staff should make security teams part of the initial application design process, rather than only consulted after things go into production. Developers and security staff should work together to determine how to constantly and automatically monitor microservices-based applications for potential threats. Monitoring tools like Prometheus and InfluxDB can help you attain these centralized monitoring capabilities.;X;X;1
24;Publicly accessible microservices;;Use API Gateway;Any organization that is exposing one or more APIs for external access should deploy some form of API gateway. This does not necessarily need to be a specialised device for many use cases, organizations use an intelligent reverse proxy that allows them to inspect, authenticate, and rate-limit API requests, only admitting requests that meet appropriate criteria and logging all transactions;X;X;1
24;Non-secure communication;;Use transport Layer Security (TLS);"It almost goes without saying that all API traffic must be encrypted using TLS. good first step is to quickly standardize on using TLS for all internal communications.";X;X;1
24;Trust the Network;;Zero Trust Network;In addition, the internal security of a microservices application should not be forgotten. It's worthwhile to maintain a healthy degree of suspicion of the other components in the application even if they can be completely trusted now, there's no telling how the client base for the application will grow in the future;X;X;1
24;unnecessary privileges to microservices;;Least privilege principle;Employ a principle of least-privilege for each component within the application white-list access control, secret protection using revocable tokens, PKI authentication and access control with particular focus on APIs that can access sensitive data.;X;X;1
24;Non-proactive security;;Use attack mitigation techniques;rate limiting can limit the potential of DoS attacks.;X;X;1
24;Non-standard Authorization;;Use OAuth 2.0;"API clients should be authenticated using both an application identifier and API key or other shared secret and a user identifier an SSL certificate or OAuth token.ven anonymous API requests should be required to use a unique user identifier, in order to apply rate limits and to log traffic.";X;X;1
25;Trust the Network;Some do work around this by simply trusting the network and avoiding security checks at each microservice. Over time, trust-the-network has become an antipattern, and the industry is moving toward zero-trust networking principles. ;Zero Trust Network;"With zero-trust networking principles, you carry out security much closer to each resource in your network.he zero-trust network approach assumes that the network is always hostile and untrusted, and it never takes anything for granted. Each request must be authenticated and authorized at each node before being accepted for further processing.";X;X;1
25;Non-standard identity propagation;Nothing is shared among microservices (or only a very limited set of resources), and the user context has to be passed explicitly from one microservice to another. The challenge is to build trust between two microservices so that the receiving microservice accepts the user context passed from the calling microservice. You need a way to verify that the user context passed among microservices isn�t deliberately modified.;Use JSON Web Tokens (JWT);"Using a JSON Web Token (JWT) is one popular way to share user context among microservices.ou can think of a JWT as a JSON message that helps carry a set of user attributes from one microservice to another in a cryptographically safe manner.ou have multiple ways to authenticate a system. The most popular options are certificates and JWTs.ith JWT, you have an assurance that a man in the middle can�t change its content and go undetected because the issuer of the JWT signs it.";X;X;1
25;Non-standard Authorization;;Use OAuth 2.0;"In these kinds of delegated use cases, in which a system requests access on behalf of another system or a human user, OAuth 2.0 is the de facto standard for security.Auth 2.0, which is an authorization framework for delegated access control, is the recommended approach for protecting APIs when one system wants to access an API on behalf of another system or a user.";X;X;1
25;Non-secure communication;When you transfer data from your client application to a microservice or from one microservice to another microservice�depending on the strength of the communication channel you pick�an intruder could intercept the communication and change the data for their advantage.;Transport Layer Security (TLS) mutual authentication;"The most common way to protect a message for integrity is to sign it. Any data in transit over a communication channel protected with Transport Layer Security (TLS), for example, is protected for integrity. Mutual TLS is another popular way to secure service-to-service communications in a microservices deployment. In fact, this method is the most common form of authentication used today. Each microservice in the deployment has to carry a public/private key pair and uses that key pair to authenticate to the recipient microservices via mTLS.ith TLS (one-way), the recipient microservice can�t verify the identity of the client microservice. That�s where mTLS comes in. mTLS lets each microservice in communication identify the others.";X;X;1
25;Non-encrypting sensitive data;Along with the data in transit, the data at rest needs to be protected for confidentiality.;Encrypt data at rest;"To protect a system for confidentiality, both the data in transit and at rest must be protected. The data in transit can be protected with TLS, and data at rest can be protected by encryption.ncryption should also apply to data at rest to protect it from intruders who get direct access to the system.his data can be credentials for other systems stored in the filesystem or business-critical data stored in a database. Most database management systems provide features for automatic encryption, and disk-level encryption features are available at the operating-system level.lso, keep in mind that encryption is a resource-intensive operation that would have a considerable impact on your application�s performance unless you find the optimal solution.";X;X;1
25;No layered security;;Use defense-in-depth;Defenses against such attacks can be built on different levels. On the application level, the best thing you could do is reject a message (or a request) as soon as you find that it�s not legitimate. Having layered security architecture helps you design each layer to take care of different types of attacks and reject an attacker at the outermost layer.;X;X;1
25;Decentralized security policy management;;Use API Gateway;"The API gateway centrally enforces security for all the requests entering the microservices deployment, including authentication, authorization, throttling, and message content validation for known security threats.PI gateway could enforce corporatewide access-control policies, which are probably coarse-grained";X;X;1
25;Non-secure communication;;Use JSON Web Tokens (JWT);"JSON Web Token is the third approach for securing service-to-service communications in a microservices deployment.nlike mTLS, JWT works at the application layer, not at the transport layer. JWT is a container that can carry a set of claims from one place to another.n most cases, JWT-based authentication works over TLS JWT provides authentication, and TLS provides confidentiality and integrity of data in transit.";X;X;1
25;Publicly accessible microservices;In a typical microservices deployment, microservices are not exposed directly to client applications. ;Use API Gateway;"In most cases, microservices are behind a set of APIs that is exposed to the outside world via an API gateway.he API gateway is the entry point to the microservices deployment, which screens all incoming messages for security.he key role of the API gateway in a microservices deployment is to expose a selected set of microservices to the outside world as APIs and build quality-of-service (QoS) features. These QoS features are security, throttling, and analytics.";X;X;1
26;Non-secure communication;;Use transport Layer Security (TLS);One way to limit the opportunities for bad actors is to ensure that all communications in a network segment use SSL/TLS. This provides confidentiality and integrity protection of data in flight, server authentication for clients, and adds important�though optional client-side authentication for servers.;X;X;1
26;Centralized authorization;;Use a token-based approach;"Tokens are JSON-based, and protocols are simple to implement as API endpoints. But they also address a deeper concern about the implicit trust a user invests in applications. he new token model maintains that we should never trust a client or a server application with something as powerful as a password (or any primary authentication factor).";X;X;1
26;Non-standard Authorization;;Use OAuth 2.0;"OAuth 2.0 is the preferred framework for secure authorization in modern application architectures. What begins as a simple way to delegate authorization between websites is now the primary means of API authorization.Auth allows users to delegate access between distributed applications. It is not an authentication protocol, which proves a user�s claim to an identity. It is an authorization protocol that lets a user (the resource owner) grant an app (the client) access to an API (the resource) on their behalf. This access is for a limited time and with limited scope.";X;X;1
26;Non-standard authentication;;Use OpenID Connect;OpenID Connect is an authentication layer built on top of the OAuth framework. OAuth is concerned only with authorization, making no attempts to define how authentication takes place. OpenID Connect takes this on, providing flows to authenticate an end-user and provide claims back to a relying party.;X;X;1
26;Non-secure communication;;Use JSON Web Tokens (JWT);JSON Web Token (JWT) is a simple, JSON-based packaging format for exchanging claims. The claims can be anything you can represent in JSON JWT adds only a formalized header and body, a signing mechanism (JWS), optional encryption (JWE), and a simple web encoding. The ID Token from OpenID Connect is a JWT.;X;X;1
26;Trusting your own components;;Zero Trust Network;a singular approach could be taken to protecting every API endpoint in a microservice architecture, with maximum security using a �zero trust� mentality;;X;0
26;Decentralized security policy management;;Use API Gateway;"Gateways do the same, but operate at a higher level, enforcing sophisticated policies by interpreting application protocols on a transaction-by-transaction basis. They are programmable and usually responsible for authentication, authorization, threat detection, and sophisticated traffic management.PI gateways excel at enforcing security policies and accommodating unusual networking challenges.";X;X;1
27;Decentralized security policy management;"Each microservice can be accessed independently through its own API, and it needs a mechanism to ensure that each request is authenticated and authorized to access the set of functions requested.owever, if each microservice performs this authentication individually, the full set of a user�s credentials is required each time, increasing the likelihood of exposure of long-term credentials and reducing usability. In addition, each microservice is required to enforce the security policies that are applicable across all functions of the application that the microservice belongs to (such as JSON threat protection for a Node.js application).";Use API Gateway;"This is where the API Gateway comes in, acting as a central enforcement point for various security policies including end-user authentication and authorization.he API gateway acts as a guard, restricting access to the microservices� APIs. It ensures that a valid access token is present and that all policies are met before granting access downstream, creating a virtual walled garden.";X;X;1
